session_name,classifier,cost,accuracy,beta1,beta2,calculated_learning_rate,classifier_instance,current_batch_index,current_batch_iteration_index,epoch,epsilon,f1,hidden_layers,iteration_count,lambd,learning_rate,learning_rate_decay,minibatch_size,precision,recall,shuffle,support,test_set,timestamp,total_batch_index,total_iteration_index
Session 0001,NeuralNetWithAdam,1.1659849236535564,0.4557640750670242,0.9,0.9990000000000001,0.008,a2d7d80c-f135-4ae5-bc9b-ff7a9ca2c418,0.0,33.0,0.0,1e-08,0.4079172684610522,"(24, 36, 24, 36, 12, 24)",50.0,0.0,0.008,0.0,0.0,0.3716680286194106,0.4557640750670242,1.0,1119.0,train,2017-09-30 18:38:11.387587,0.0,33.0
Session 0001,NeuralNetWithAdam,1.164191657023095,0.4602323503127793,0.9,0.9990000000000001,0.008,a2d7d80c-f135-4ae5-bc9b-ff7a9ca2c418,0.0,34.0,0.0,1e-08,0.4125549623722843,"(24, 36, 24, 36, 12, 24)",50.0,0.0,0.008,0.0,0.0,0.37574296978488425,0.4602323503127793,1.0,1119.0,train,2017-09-30 18:38:11.394719,0.0,34.0
Session 0001,NeuralNetWithAdam,1.1606346878234657,0.4655942806076854,0.9,0.9990000000000001,0.008,a2d7d80c-f135-4ae5-bc9b-ff7a9ca2c418,0.0,35.0,0.0,1e-08,0.4223200205317597,"(24, 36, 24, 36, 12, 24)",50.0,0.0,0.008,0.0,0.0,0.3883280007285064,0.4655942806076854,1.0,1119.0,train,2017-09-30 18:38:11.401522,0.0,35.0
Session 0001,NeuralNetWithAdam,1.1622495424037804,0.4772117962466488,0.9,0.9990000000000001,0.008,a2d7d80c-f135-4ae5-bc9b-ff7a9ca2c418,0.0,36.0,0.0,1e-08,0.431464001610267,"(24, 36, 24, 36, 12, 24)",50.0,0.0,0.008,0.0,0.0,0.4083614556304422,0.4772117962466488,1.0,1119.0,train,2017-09-30 18:38:11.409071,0.0,36.0
Session 0001,NeuralNetWithAdam,1.1593810431942555,0.4682752457551385,0.9,0.9990000000000001,0.008,a2d7d80c-f135-4ae5-bc9b-ff7a9ca2c418,0.0,37.0,0.0,1e-08,0.4246772134435369,"(24, 36, 24, 36, 12, 24)",50.0,0.0,0.008,0.0,0.0,0.3942733673162557,0.4682752457551385,1.0,1119.0,train,2017-09-30 18:38:11.416864,0.0,37.0
Session 0001,NeuralNetWithAdam,1.1585665915011096,0.4718498659517426,0.9,0.9990000000000001,0.008,a2d7d80c-f135-4ae5-bc9b-ff7a9ca2c418,0.0,38.0,0.0,1e-08,0.4259133466590934,"(24, 36, 24, 36, 12, 24)",50.0,0.0,0.008,0.0,0.0,0.3882367068415287,0.4718498659517426,1.0,1119.0,train,2017-09-30 18:38:11.423388,0.0,38.0
Session 0001,NeuralNetWithAdam,1.15885378806049,0.4691689008042895,0.9,0.9990000000000001,0.008,a2d7d80c-f135-4ae5-bc9b-ff7a9ca2c418,0.0,39.0,0.0,1e-08,0.42180195460145703,"(24, 36, 24, 36, 12, 24)",50.0,0.0,0.008,0.0,0.0,0.3840349120150895,0.4691689008042895,1.0,1119.0,train,2017-09-30 18:38:11.429707,0.0,39.0
Session 0001,NeuralNetWithAdam,1.1561853698825335,0.4807864164432529,0.9,0.9990000000000001,0.008,a2d7d80c-f135-4ae5-bc9b-ff7a9ca2c418,0.0,40.0,0.0,1e-08,0.4365712988574121,"(24, 36, 24, 36, 12, 24)",50.0,0.0,0.008,0.0,0.0,0.4029433876618863,0.4807864164432529,1.0,1119.0,train,2017-09-30 18:38:11.436060,0.0,40.0
Session 0001,NeuralNetWithAdam,1.1572232691350133,0.4879356568364611,0.9,0.9990000000000001,0.008,a2d7d80c-f135-4ae5-bc9b-ff7a9ca2c418,0.0,41.0,0.0,1e-08,0.4420013915684043,"(24, 36, 24, 36, 12, 24)",50.0,0.0,0.008,0.0,0.0,0.4196117677713479,0.4879356568364611,1.0,1119.0,train,2017-09-30 18:38:11.442222,0.0,41.0
Session 0001,NeuralNetWithAdam,1.1551433256025492,0.4879356568364611,0.9,0.9990000000000001,0.008,a2d7d80c-f135-4ae5-bc9b-ff7a9ca2c418,0.0,42.0,0.0,1e-08,0.4430387241241393,"(24, 36, 24, 36, 12, 24)",50.0,0.0,0.008,0.0,0.0,0.4144372525548828,0.4879356568364611,1.0,1119.0,train,2017-09-30 18:38:11.449322,0.0,42.0
Session 0001,NeuralNetWithAdam,1.1550879649728274,0.4754244861483468,0.9,0.9990000000000001,0.008,a2d7d80c-f135-4ae5-bc9b-ff7a9ca2c418,0.0,43.0,0.0,1e-08,0.43048303155810297,"(24, 36, 24, 36, 12, 24)",50.0,0.0,0.008,0.0,0.0,0.3934447847766076,0.4754244861483468,1.0,1119.0,train,2017-09-30 18:38:11.455445,0.0,43.0
Session 0001,NeuralNetWithAdam,1.154515185091215,0.4781054512957998,0.9,0.9990000000000001,0.008,a2d7d80c-f135-4ae5-bc9b-ff7a9ca2c418,0.0,44.0,0.0,1e-08,0.43320151955516817,"(24, 36, 24, 36, 12, 24)",50.0,0.0,0.008,0.0,0.0,0.39627617992462255,0.4781054512957998,1.0,1119.0,train,2017-09-30 18:38:11.461334,0.0,44.0
Session 0001,NeuralNetWithAdam,1.1527720491062634,0.4932975871313673,0.9,0.9990000000000001,0.008,a2d7d80c-f135-4ae5-bc9b-ff7a9ca2c418,0.0,45.0,0.0,1e-08,0.4484657306897513,"(24, 36, 24, 36, 12, 24)",50.0,0.0,0.008,0.0,0.0,0.4207158212098184,0.4932975871313673,1.0,1119.0,train,2017-09-30 18:38:11.467064,0.0,45.0
Session 0001,NeuralNetWithAdam,1.1533425930157657,0.4915102770330652,0.9,0.9990000000000001,0.008,a2d7d80c-f135-4ae5-bc9b-ff7a9ca2c418,0.0,46.0,0.0,1e-08,0.4453434508252206,"(24, 36, 24, 36, 12, 24)",50.0,0.0,0.008,0.0,0.0,0.4269286173376304,0.4915102770330652,1.0,1119.0,train,2017-09-30 18:38:11.472833,0.0,46.0
Session 0001,NeuralNetWithAdam,1.1513069227885695,0.4959785522788204,0.9,0.9990000000000001,0.008,a2d7d80c-f135-4ae5-bc9b-ff7a9ca2c418,0.0,47.0,0.0,1e-08,0.4512525531270946,"(24, 36, 24, 36, 12, 24)",50.0,0.0,0.008,0.0,0.0,0.4225121356677449,0.4959785522788204,1.0,1119.0,train,2017-09-30 18:38:11.479210,0.0,47.0
Session 0001,NeuralNetWithAdam,1.1515619524746727,0.481680071492404,0.9,0.9990000000000001,0.008,a2d7d80c-f135-4ae5-bc9b-ff7a9ca2c418,0.0,48.0,0.0,1e-08,0.4373311627763541,"(24, 36, 24, 36, 12, 24)",50.0,0.0,0.008,0.0,0.0,0.40155262501107,0.481680071492404,1.0,1119.0,train,2017-09-30 18:38:11.485401,0.0,48.0
Session 0001,NeuralNetWithAdam,1.150092052534546,0.4915102770330652,0.9,0.9990000000000001,0.008,a2d7d80c-f135-4ae5-bc9b-ff7a9ca2c418,0.0,49.0,0.0,1e-08,0.4470365257634694,"(24, 36, 24, 36, 12, 24)",50.0,0.0,0.008,0.0,0.0,0.4132362013016328,0.4915102770330652,1.0,1119.0,train,2017-09-30 18:38:11.492295,0.0,49.0
Session 0002,NeuralNetWithAdam,,0.12421805183199285,0.9,0.999,0.008,71545335-e676-495c-900f-ea04493f9eb1,0.0,0.0,0.0,1e-08,0.027450412090058832,"(24, 36, 24, 36, 12, 24)",50.0,0.0,0.008,0.0,0.0,0.015430124400935661,0.12421805183199285,1.0,1119.0,train,2017-09-30 18:39:32.726847,0.0,0.0
Session 0002,NeuralNetWithAdam,20.197832884507054,0.04825737265415549,0.9,0.999,0.008,71545335-e676-495c-900f-ea04493f9eb1,0.0,1.0,0.0,1e-08,0.03553995997770268,"(24, 36, 24, 36, 12, 24)",50.0,0.0,0.008,0.0,0.0,0.166492853702027,0.04825737265415549,1.0,1119.0,train,2017-09-30 18:39:32.736783,0.0,1.0
Session 0002,NeuralNetWithAdam,6.591525559808833,0.40393208221626453,0.9,0.999,0.008,71545335-e676-495c-900f-ea04493f9eb1,0.0,2.0,0.0,1e-08,0.257579832922234,"(24, 36, 24, 36, 12, 24)",50.0,0.0,0.008,0.0,0.0,0.1912270928356719,0.40393208221626453,1.0,1119.0,train,2017-09-30 18:39:32.745252,0.0,2.0
Session 0002,NeuralNetWithAdam,7.778679309914182,0.38337801608579086,0.9,0.999,0.008,71545335-e676-495c-900f-ea04493f9eb1,0.0,3.0,0.0,1e-08,0.2124924662801089,"(24, 36, 24, 36, 12, 24)",50.0,0.0,0.008,0.0,0.0,0.14697870321787693,0.38337801608579086,1.0,1119.0,train,2017-09-30 18:39:32.753511,0.0,3.0
Session 0002,NeuralNetWithAdam,2.5471899627154233,0.3449508489722967,0.9,0.999,0.008,71545335-e676-495c-900f-ea04493f9eb1,0.0,4.0,0.0,1e-08,0.24034657178041552,"(24, 36, 24, 36, 12, 24)",50.0,0.0,0.008,0.0,0.0,0.1844217742341067,0.3449508489722967,1.0,1119.0,train,2017-09-30 18:39:32.761358,0.0,4.0
